locale_id,page_id,key,translation
58a82d87a5527676b47c8742,58a84d14a5527676b47c874c,input.firstName,名字
58a82d87a5527676b47c8742,58a84d14a5527676b47c874c,input.lastName,姓
58a82d87a5527676b47c8742,58a84d14a5527676b47c874c,input.accountNumber,帐号
58a82d87a5527676b47c8742,58a84d14a5527676b47c874c,select.accountType.option1,帐户类型
58a82d87a5527676b47c8742,58a84d14a5527676b47c874c,select.accountType.option2,私人帐户
58a82d87a5527676b47c8742,58a84d14a5527676b47c874c,select.accountType.option3,公司帐户
58a82d87a5527676b47c8742,58a84d14a5527676b47c874c,input.bankState,银行省
58a82d87a5527676b47c8742,58a84d14a5527676b47c874c,input.bankCity,银行城市
58a82d87a5527676b47c8742,58a84d14a5527676b47c874c,input.bankBranch,银行支行
58a82d87a5527676b47c8742,58a84d14a5527676b47c874c,input.amount,量 
